product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Terlik,18.9,35.0,46,noShipping,100,6,Pazzarro,100,1
Byz01 Kadın Terlik,29.0,49.83,41,noShipping,80,536,Moda Frato,80,1
Modafrato Byz33 Çapraz Kadın Ev Terliği Kışlık Yünlü Terlik,29.0,49.83,41,noShipping,84,445,Moda Frato,84,1
Pofuduk Ev Terliği Erkek Kadın Için Ses Yapmaz Taban Içi Kürklü Yıkanabilir,39.9,69.9,42,noShipping,90,391,Fogs,90,1
Siyah Kadın Çapraz Peluş Terlik Pofuduk Kürklü Ev Terliği Şık Misafir Çeyiz Bohça Günlük Terlik,49.98,69.99,28,noShipping,83,54,Modafırsat,83,1
Fılanto Unisex Terlik Siyah,46.91,64.99,27,noShipping,90,505,Slazenger,90,1
Kadın Ev Terliği Peluş Terlik Çeyiz Terliği Bohça Terliği,29.9,59.0,49,noShipping,90,114,StWenn,90,1
Terlik - Siyah - Ayakkabı Havuzu,29.99,32.99,9,noShipping,84,39,ayakkabıhavuzu,84,1
Krem Kadın Rabbit Yumuşak Gondol Ev Terliği,111.09,249.99,55,noShipping,100,1,Beyond,100,1
Modafrato Byz33 Çapraz Kadın Ev Terliği Kışlık Yünlü Terlik,29.0,49.83,41,noShipping,86,284,Moda Frato,86,1
Kadın Kışlık Ev Terliği,39.9,69.9,42,noShipping,100,1,lexıa,100,1
Gri Kadın Çapraz Peluş Terlik Pofuduk Kürklü Ev Terliği Şık Misafir Çeyiz Bohça Günlük Terlik,49.98,69.99,28,noShipping,96,5,Modafırsat,96,1
Byz01 Kadın Terlik,29.0,49.83,41,noShipping,77,434,Moda Frato,77,1
Kadın Yanı Şeffaf Siyah Terlik,17.99,49.99,64,noShipping,81,77,westy,81,1
Pofuduk Ev Terliği Erkek Kadın Için Ses Yapmaz Taban Içi Kürklü Yıkanabilir,39.9,69.9,42,noShipping,86,174,Fogs,86,1
Pofuduk Hayvan Figürlü Panduf Kadın Ev Teliği,49.9,99.0,49,noShipping,86,101,StWenn,86,1
Kadın Beyaz Terlik,20.0,39.99,49,noShipping,86,53,ayakkabıhavuzu,86,1
