product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Muggo MGPARKER Unisex Sneaker Günlük Yürüyüş Spor Ayakkabı,79.0,139.0,43,noShipping,0,0,deparshoes,100,1
Muggo MGFORCE01 Unisex Hafif Günlük Spor Yürüyüş Ayakkabısı,73.0,77.0,5,noShipping,0,0,deparshoes,100,1
BULLDOZER 201513 Erkek Spor Ayakkabı,99.0,399.0,75,freeShipping,0,0,BULLDOZER,90,1
Erkek Kadın Spor Ayakkabı Günlük 4 Renk,99.0,299.0,67,freeShipping,0,0,Ayakkabıhobim,100,1
Kinetix RUBY Beyaz Kadın Spor Ayakkabı,72.0,129.0,45,freeShipping,0,0,FLO,95,1
Ayakkabı Yağmurluğu DRY STEP,89.0,0.0,0,freeShipping,0,0,Petza,100,1
Free Marka 6040 Günlük Rahat Erkek Spor Ayakkabı,99.0,149.0,34,freeShipping,0,0,AKKUŞOĞLUAYAKKABI,98,1
Keten Bilekli Erkek Kadın Spor Ayakkabı 6 Renk,93.0,199.0,53,freeShipping,0,0,Ayakkabıhobim,100,1
Modastar Unisex Siyah Keten Günlük Bilekli Spor Ayakkabı,65.0,122.0,46,noShipping,0,0,modastar,100,1
Kinetix SAGEL M 1FX Siyah Erkek Sneaker Ayakkabı,78.0,119.0,34,freeShipping,0,0,INSTREET,95,1
Kinetix FLETCHER J 1FX Lacivert Erkek Çocuk Koşu Ayakkabısı,69.0,129.0,46,freeShipping,0,0,INSTREET,95,1
SANTA BARBARA POLO CLUB CONVERSE AYAKKABI BEYAZ-SİYAH-KREM-MAVİ,89.0,149.0,40,freeShipping,0,0,kubilayshoes,86,1
İlgipark  Kadın Günlük Hafif Cırtlı Siyah Yürüyüş Spor Ayakkabı,89.0,159.0,44,freeShipping,0,0,ilgipark,100,1
Khayt Classic Memory System Günlük Erkek&Kadın Spor Ayakkabı,84.0,169.0,50,freeShipping,0,0,Oncaürün,97,1
SANTA BARBARA POLO CLUB CONVERSE AYAKKABI BEYAZ-SİYAH-KREM-MAVİ,89.0,139.0,36,freeShipping,0,0,kubilayshoes,86,1
Kinetix ARINA M Lacivert Erkek Sneaker Ayakkabı,90.0,129.0,30,freeShipping,0,0,INSTREET,95,1
Muggo MGPALERMO02 Erkek Sneaker Ayakkabı,71.0,188.0,62,noShipping,0,0,deparshoes,100,1
LETOON 2103 UNİSEX SPOR AYAKKABI,99.0,224.0,56,freeShipping,0,0,Letoon,85,1
Hercule Erkek Spor Ayakkabı Günlük Sneaker Rahat Giyim,89.0,169.0,47,freeShipping,0,0,HerculeShoes,100,1
LETOON 204HS ERKEK HALI SAHA - Lacivert,63.0,149.0,57,noShipping,0,0,Letoon,85,1
Kinetix NINA MESH M 1FX Siyah Erkek Sneaker Ayakkabı,86.0,109.0,21,freeShipping,0,0,INSTREET,95,1
İlgipark Kadın Günlük Hafif Cırtlı Laci Yürüyüş Spor Ayakkabı,89.0,159.0,44,freeShipping,0,0,ilgipark,100,1
Muya 50615 Erkek Spor Ayakkabı Kışlık Günlük Ayakkabı,99.0,249.0,60,freeShipping,0,0,ModaFrato,100,1
Arriva Sprint Erkek Kadın Günlük Ayakkabı 36-44,79.0,129.0,38,freeShipping,0,0,tarzayak,81,1
Hercule Beyaz Erkek Spor Ayakkabı Günlük Sneaker Rahat Giyim,94.0,189.0,50,freeShipping,0,0,HerculeShoes,100,1
Kinetix CORNEL TF 1FX Gri Erkek Halı Saha Ayakkabısı,91.0,129.0,30,freeShipping,0,0,FLO,95,1
Muggo MGPOGBA Unisex Sneaker Günlük Yürüyüş Spor Ayakkabı,66.0,119.0,45,noShipping,0,0,deparshoes,100,1
Kinetix VOTEN Lacivert Turuncu Erkek Yürüyüş Ayakkabısı,80.0,109.0,27,freeShipping,0,0,FLO,95,1
Hercule Erkek Spor Ayakkabı Günlük Sneaker Rahat Giyim,99.0,194.0,49,freeShipping,0,0,HerculeShoes,100,1
Kinetix BARNES W 1FX Siyah Kadın Sneaker Ayakkabı,70.0,109.0,36,freeShipping,0,0,INSTREET,95,1
Wanderfull 4117 Erkek Yürüyüş Ayakkabısı Günlük Spor Ayakkabı Son,99.0,199.0,50,freeShipping,0,0,MYPARLAK,91,1
Kadın Casual Günlük Air Spor Ayakkabı,57.0,109.0,47,freeShipping,0,0,OdesaAyakkabı,86,1
Kinetix RENDOR Siyah Erkek Koşu Ayakkabısı,85.0,139.0,39,freeShipping,0,0,FLO,95,1
TOMMS Kadın Bağcıklı Sneaker Spor Ayakkabı Isabella-34,59.0,289.0,79,freeShipping,0,0,tomms_shoes,100,1
JAC LİON YENİ SEZON HAFİF ERKEK SPOR AYAKKABI BAĞSIZ SPOR AYAKKAB,99.0,119.0,17,freeShipping,0,0,forzaspor,96,1
Kinetix TASCO MESH M 1FX Gri Erkek Sneaker Ayakkabı,89.0,129.0,31,freeShipping,0,0,INSTREET,95,1
Kinetix VOTEN Lacivert TURUNCU Erkek Yürüyüş Ayakkabısı,80.0,109.0,27,freeShipping,0,0,INSTREET,95,1
Kinetix TYSON W 1FX Lacivert Kadın Koşu Ayakkabısı,78.0,129.0,40,freeShipping,0,0,INSTREET,95,1
Erkek & Bayan Unisex Spor Ayakkabı,94.0,199.0,53,freeShipping,0,0,Ayakkabıhobim,100,1
Dero Axis Erkek Spor Ayakkabı Unisex Sneaker DR061,69.0,200.0,65,freeShipping,0,0,dero,100,1
Khayt Aqua Air Cooled Bağsız Triko Rahat Erkek Günlük Spor Ayakka,84.0,199.0,58,noShipping,0,0,Oncaürün,97,1
Kinetix TYSON 1FX Gri Erkek Koşu Ayakkabısı,84.0,119.0,29,freeShipping,0,0,INSTREET,95,1
TOMMS Kadın Bağcık Lastik Detaylı Sneaker Spor Ayakkabı LONA-55,59.0,289.0,79,freeShipping,0,0,tomms_shoes,100,1
Kinetix ROLLS MESH M 1FX Gri Erkek Sneaker Ayakkabı,84.0,129.0,35,freeShipping,0,0,INSTREET,95,1
Efolle Cırtlı Kız / Erkek Çocuk Spor Ayakkabı,59.0,99.0,40,freeShipping,0,0,OdesaAyakkabı,86,1
GLACİER GÜNLÜK SPOR AYAKKABI ERKEK,60.0,0.0,0,freeShipping,0,0,ElectroMarket19,100,1
LETOON GHX01 ERKEK HALI SAHA - Beyaz,63.0,149.0,57,noShipping,0,0,Letoon,85,1
Muggo SVT18 Unisex Fileli Günlük Spor Yürüyüş Sneaker Ayakkabı,59.0,86.0,31,noShipping,0,0,deparshoes,100,1
Dero Axis Erkek Spor Ayakkabı Unisex Sneaker DR056,89.0,200.0,55,freeShipping,0,0,dero,100,1
Erkek Günlük Air Nubuk Spor Ayakkabı,74.0,139.0,46,freeShipping,0,0,OdesaAyakkabı,86,1
Hercule Outdoor Erkek Sneaker Spor Ayakkabı Rahat Giyim,99.0,219.0,55,freeShipping,0,0,HerculeShoes,100,1
Kadın Erkek Keten Convers Modeli Spor Ayakkabı,69.0,269.0,74,freeShipping,0,0,MechButik,97,1
Kinetix REEDS M 1FX Siyah Erkek Çocuk Sneaker Ayakkabı,78.0,119.0,34,freeShipping,0,0,INSTREET,95,1
Modalist M030 Erkek Spor Ayakkabı YESİL-BEYAZ,74.0,229.0,67,freeShipping,0,0,Modalist,97,1
Wanderfull 4106 Erkek Günlük Spor Ayakkabı Yeni Sezon Bağsız,99.0,179.0,44,freeShipping,0,0,MYPARLAK,91,1
Hado DPN502 Erkek Spor Ayakkabı Günlük Sneakers,79.0,109.0,27,freeShipping,0,0,HadoShop,100,1
Kinetix THEHA 1FX Siyah Erkek Sneaker,84.0,129.0,35,freeShipping,0,0,INSTREET,95,1
Gezer 3102 Erkek Panduf Ev Botu Ev Ayakkabısı,49.0,79.0,37,freeShipping,0,0,eylülsporoutlet,91,1
İmerShoes Fileli Günlük Spor Ayakkabı Erkek Bayan Çocuk Sneakers,79.0,146.0,46,freeShipping,0,0,imer-tech,100,1
Kinetix TOOLS 1FX Siyah Kız Çocuk Fashion Sneaker,72.0,119.0,39,freeShipping,0,0,INSTREET,95,1
Slazenger ORBAN Erkek Terlik Siyah / Kırmızı,29.0,59.0,50,noShipping,0,0,Slazenger,95,1
Coronix Kadın Spor Ayakkabı Yeni Sezon Yürüyüş Ayakkabısı,49.0,89.0,44,freeShipping,0,0,MYPARLAK,91,1
Jump 18097-C Kırmızı Futsal Voleybol Unisex Salon Spor Ayakkabı,95.0,0.0,0,freeShipping,0,0,Ayakland,100,1
XstepX Erkek Bayan Günlük Spor Ayakkabı 36-47 6 Renk,99.0,149.0,34,freeShipping,0,0,tarzayak,81,1
Kinetix GIAN KNIT W Siyah Kadın Sneaker Ayakkabı,62.0,119.0,48,freeShipping,0,0,INSTREET,95,1
İmershoes Erkek Günlük Step Sandalet Düz Taban Cırtlı Spor Yazlık,79.0,199.0,60,freeShipping,0,0,imer-tech,100,1
TOMMS Kadın Bağcık Lastik Detaylı Sneaker Spor Ayakkabı,59.0,249.0,76,freeShipping,0,0,tomms_shoes,100,1
Kinetix Cordelıa Pu 9PR Rahat (36-40) Bayan Günlük Spor Ayakkabı,99.0,129.0,24,freeShipping,0,0,AKKUŞOĞLUAYAKKABI,98,1
Kinetix ADMES M Beyaz Erkek Sneaker Ayakkabı,90.0,119.0,24,freeShipping,0,0,INSTREET,95,1
Muggo SVT03 ortopedik & Terletmez Kadın Sneaker,49.0,99.0,50,noShipping,0,0,deparshoes,100,1
Föz Siyah Günlük Cilt Erkek Çocuk Spor Ayakkabı 093,71.0,139.0,49,freeShipping,0,0,Ozpa,100,1
İlgipark  Kadın Günlük Hafif Cırtlı Siyah Yürüyüş Spor Ayakkabı,89.0,159.0,44,freeShipping,0,0,ilgipark,100,1
U.S. Polo Assn. KATYA Beyaz Kadın Sneaker,86.0,199.0,57,freeShipping,0,0,INSTREET,95,1
Ayakcenter 5100 Gri-Fuşya Günlük Kadın Sneaker Spor Ayakkabı,94.0,149.0,37,freeShipping,0,0,Ayakcenter,100,1
Kinetix FORLAN TURF Siyah Erkek Çocuk Halı Saha Ayakkabısı,53.0,89.0,40,freeShipping,0,0,INSTREET,95,1
Modafrato WN-4056 Unisex Spor Ayakkabı Koşu Yürüyüş Ayakkabısı,89.0,199.0,55,freeShipping,0,0,ModaFrato,100,1
