product_name,new_price,old_price,discount_ratio,shipping,rating_point,rating_number,seller_name,seller_point,price_class
Kadın Cırtlı Spor Ayakkabı,119.98,0.0,0,freeShipping,73,58,ACAR AYAKKABI,73,1
Beyaz Unisex Bebek Yürüyüş Ayakkabısı,71.99,219.99,67,noShipping,85,16,AEROPOSTALE,85,1
Kadın Haki Yeşil Günlük Triko Spor Ayakkabı Life Comfort,139.8,299.9,53,freeShipping,97,9,Oblavion,97,1
123415 Gökkuşağı Kadın Sneaker,69.9,0.0,0,freeShipping,86,85,Ayax,86,1
Günlük Spor Ayakkabı,139.98,0.0,0,freeShipping,56,5,ACAR AYAKKABI,56,1
Mia-spor,69.9,89.99,22,freeShipping,80,26,Sosyete Collections,80,1
Perla Garson Spor - Suet Grı,74.2,0.0,0,freeShipping,95,9,ENES,95,1
Kadın Spor Ayakkabı 1002-101-0001,49.99,144.15,65,noShipping,93,6,Gob London,93,1
Kadın Spor Ayakkabı,129.8,0.0,0,freeShipping,84,122,ESPARDİLE,84,1
2471 Anorak Kadın Sneaker,59.9,99.9,40,freeShipping,84,5,Ayax,84,1
Spor Ayakkabı - Beyaz Kırmızı,54.99,84.99,35,noShipping,80,2,ayakkabıhavuzu,80,1
Unisex Spor Ayakkabı Günlük Sneakers Tmssnkr80,74.9,119.9,37,freeShipping,70,81,tomms,70,1
Life Siyah Triko Sneaker,149.9,189.9,21,freeShipping,87,19,Oblavion,87,1
Beyaz Kadın Sneaker TAKAW22SN0005,109.99,0.0,0,noShipping,96,6,TRENDYOL SHOES,96,1
Pudra Kadın Sneaker 16450,49.99,0.0,0,noShipping,85,7,SOHO,85,1
Siyah Unisex Spor Ayakkabı,44.9,114.0,60,noShipping,67,120,öz taha,67,1
Beyaz Kadın Sneaker,59.0,120.0,50,freeShipping,100,1,KARAYEL,100,1
Unisex Siyah Spor Ayakkabı,114.0,229.9,50,freeShipping,81,60,RAHATADIMLAR,81,1
Siyah Kadın Ayakkabı,119.9,0.0,0,freeShipping,86,10,Pembe Potin,86,1
1fx100785973 Günlük Siyah Sneakers Not:kalıbı Küçük Gelebilir Tavsiyem Bir Numara Büyük Almanız,62.0,89.99,31,freeShipping,87,33,Kinetix,87,1
Yaylı Spiralli Ahşap Ayakkabı Kalıbı,48.9,59.9,18,noShipping,91,106,Blink,91,1
Siyah Sneaker,47.9,99.9,52,noShipping,68,30,Sosyete Collections,68,1
Unisex Cilt Spor Ayakkabı Taba,119.8,139.9,14,freeShipping,100,2,ESPARDİLE,100,1
Kadın Beyaz Siyah Günlük Spor Ayakkabı,149.8,0.0,0,freeShipping,64,184,ESPARDİLE,64,1
Kadın Cırtlı Spor Ayakkabı,119.98,0.0,0,freeShipping,73,58,ACAR AYAKKABI,73,1
